class;order;list;iucn_category;exp;obt
Insecta;Protura;IUCN;LC;18;0
Insecta;Protura;IUCN;NT;0;0
Insecta;Protura;IUCN;VU;1;0
Insecta;Protura;IUCN;EN;0;0
Insecta;Protura;IUCN;CR;0;0
Insecta;Protura;MMA;DD;2;0
Insecta;Protura;MMA;LC;23;0
Insecta;Protura;MMA;NT;0;0
Insecta;Protura;MMA;VU;0;0
Insecta;Protura;MMA;EN;1;0
Insecta;Protura;MMA;CR;0;0
Insecta;Psocodea;ICMBIO;DD;195;0
Insecta;Psocodea;ICMBIO;LC;728;0
Insecta;Psocodea;ICMBIO;NT;10;0
Insecta;Psocodea;ICMBIO;VU;29;0
Insecta;Psocodea;ICMBIO;EN;26;0
Insecta;Psocodea;ICMBIO;CR;20;0
Insecta;Psocodea;IUCN;DD;271;0
Insecta;Psocodea;IUCN;LC;669;0
Insecta;Psocodea;IUCN;NT;11;0
Insecta;Psocodea;IUCN;VU;24;0
Insecta;Psocodea;IUCN;EN;18;0
Insecta;Psocodea;IUCN;CR;16;0
Insecta;Psocodea;MMA;DD;85;0
Insecta;Psocodea;MMA;LC;856;0
Insecta;Psocodea;MMA;NT;16;0
Insecta;Psocodea;MMA;VU;19;0
Insecta;Psocodea;MMA;EN;21;0
Insecta;Psocodea;MMA;CR;14;0
Insecta;Siphonaptera;ICMBIO;DD;12;0
Insecta;Siphonaptera;ICMBIO;LC;45;0
Insecta;Siphonaptera;ICMBIO;NT;1;0
Insecta;Siphonaptera;ICMBIO;VU;2;0
Insecta;Siphonaptera;ICMBIO;EN;2;0
Insecta;Siphonaptera;ICMBIO;CR;1;0
Insecta;Siphonaptera;IUCN;DD;17;0
Insecta;Siphonaptera;IUCN;LC;41;0
Insecta;Siphonaptera;IUCN;NT;1;0
Insecta;Siphonaptera;IUCN;VU;1;0
Insecta;Siphonaptera;IUCN;EN;1;0
Insecta;Siphonaptera;IUCN;CR;1;0
Insecta;Siphonaptera;MMA;DD;5;0
Insecta;Siphonaptera;MMA;LC;53;0
Insecta;Siphonaptera;MMA;NT;1;0
Insecta;Siphonaptera;MMA;VU;1;0
Insecta;Siphonaptera;MMA;EN;1;0
Insecta;Siphonaptera;MMA;CR;1;0
Insecta;Strepsiptera;ICMBIO;DD;6;0
Insecta;Strepsiptera;ICMBIO;LC;24;0
Insecta;Strepsiptera;ICMBIO;NT;0;0
Insecta;Strepsiptera;ICMBIO;VU;1;0
Insecta;Strepsiptera;ICMBIO;EN;1;0
Insecta;Strepsiptera;ICMBIO;CR;1;0
Insecta;Strepsiptera;IUCN;DD;9;0
Insecta;Strepsiptera;IUCN;LC;22;0
Insecta;Strepsiptera;IUCN;NT;0;0
Insecta;Strepsiptera;IUCN;VU;1;0
Insecta;Strepsiptera;IUCN;EN;1;0
Insecta;Strepsiptera;IUCN;CR;1;0
Insecta;Strepsiptera;MMA;DD;3;0
Insecta;Strepsiptera;MMA;LC;28;0
Insecta;Strepsiptera;MMA;NT;1;0
Insecta;Strepsiptera;MMA;VU;1;0
Insecta;Strepsiptera;MMA;EN;1;0
Insecta;Strepsiptera;MMA;CR;0;0
Insecta;Thysanoptera;ICMBIO;DD;118;0
Insecta;Thysanoptera;ICMBIO;LC;442;0
Insecta;Thysanoptera;ICMBIO;NT;6;0
Insecta;Thysanoptera;ICMBIO;VU;17;0
